Price,Close,High,Low,Open,Volume
Ticker,CIB,CIB,CIB,CIB,CIB
Date,,,,,
2005-09-14,9.521171569824219,9.566510655015701,9.104053542650599,9.113121532643119,251600
2005-09-15,9.339826583862305,9.702537943231443,9.271818312077103,9.702537943231443,223900
2005-09-16,9.249144554138184,9.44863615313313,9.113128065824931,9.31715279829481,266800
2005-09-19,9.223091125488281,9.479033941469641,9.026563279172699,9.026563279172699,475700
2005-09-20,9.264229774475098,9.43790513017057,9.099694584641357,9.099694584641357,370100
2005-09-21,9.351067543029785,9.460758256920712,9.191103734725047,9.209384939215285,227000
2005-09-22,9.533881187438965,9.62985943586911,9.268797285255705,9.355634499053346,836000
2005-09-23,9.858380317687988,9.917796172547419,9.145396161534272,9.597866926308962,920900
2005-09-26,10.073190689086914,10.237724964610365,9.88123330786197,10.237724964610365,1002500
2005-09-27,9.826384544372559,10.100609403679153,9.593293457548794,10.073187179269532,1348600
2005-09-28,9.808106422424316,9.894944518317011,9.597867831221858,9.821817976008578,382000
2005-09-29,9.977211952209473,10.032057294017031,9.821817834114714,9.821817834114714,274300
2005-09-30,10.032054901123047,10.105181424932544,9.826386008073255,9.885800981767124,225400
2005-10-03,10.054905891418457,10.19201789578851,9.931504564443292,10.105180699831346,508100
2005-10-04,10.100611686706543,10.256005779712567,10.032055674318473,10.123463400256902,393400
2005-10-05,9.657281875610352,10.192020208787186,9.597866892696064,10.059478690715132,607300
2005-10-06,8.779762268066406,9.483606233465839,8.473545457877469,9.369345917399984,1240400
2005-10-07,9.245943069458008,9.428759371208995,8.889451498977804,8.8940211437518,423400
2005-10-10,8.9580078125,9.300788717021145,8.916874034218509,9.245943388733519,216300
2005-10-11,8.871172904968262,9.049418759970917,8.729490324626079,8.912306697928448,639700
2005-10-12,8.926015853881836,9.28250746807687,8.848318807142945,8.85288932421429,395300
2005-10-13,9.29164981842041,9.661853036270308,8.898594011976616,8.898594011976616,581300
2005-10-14,9.474464416503906,9.529309747250343,9.131683496615311,9.31449981287517,318500
2005-10-17,9.808106422424316,9.817247458147158,9.620719548791815,9.712128162545929,300000
2005-10-18,9.958932876586914,10.000065802043089,9.666425777462354,9.954362357816823,572900
2005-10-19,9.789825439453125,9.826388711416817,9.460755991779894,9.506459427931636,340100
2005-10-20,9.904084205627441,10.329132719761798,9.643570825154649,9.945217989042833,786200
2005-10-21,9.872092247009277,10.054908592525965,9.771542603172275,10.00920428821252,212800
2005-10-24,10.19201946258545,10.19201946258545,9.885801792130419,9.908654377529748,224600
2005-10-25,10.160022735595703,10.27428300263138,10.064044529719329,10.27428300263138,250000
